"Date","Price"
"12/23/2015",1068.3
"12/24/2015",1075.9
"12/28/2015",1068.3
"12/29/2015",1068
"12/30/2015",1059.8
"12/31/2015",1060.2
"01/04/2016",1075.2
"01/05/2016",1078.4
"01/06/2016",1091.9
"01/07/2016",1107.8
"01/08/2016",1097.9
"01/11/2016",1096.2
"01/12/2016",1085.2
"01/13/2016",1087.1
"01/14/2016",1073.6
"01/15/2016",1090.7
"01/18/2016",1090.45
"01/19/2016",1089.1
"01/20/2016",1106.2
"01/21/2016",1098.2
"01/22/2016",1096.3
"01/25/2016",1105.6
"01/26/2016",1120.6
"01/27/2016",1116.3
"01/28/2016",1116.1
"01/29/2016",1116.4
"02/01/2016",1128
"02/02/2016",1127.2
"02/03/2016",1141.3
"02/04/2016",1157.5
"02/05/2016",1157.7
"02/08/2016",1197.9
"02/09/2016",1198.6
"02/10/2016",1194.6
"02/11/2016",1247.8
"02/12/2016",1239.4
"02/15/2016",1208.45
"02/16/2016",1208.2
"02/17/2016",1211.4
"02/18/2016",1226.3
"02/19/2016",1230.8
"02/22/2016",1210.1
"02/23/2016",1222.6
"02/24/2016",1239.1
"02/25/2016",1238.8
"02/26/2016",1220.4
"02/29/2016",1234.4
"03/01/2016",1230.8
"03/02/2016",1241.8
"03/03/2016",1258.2
"03/04/2016",1270.7
"03/07/2016",1264
"03/08/2016",1262.9
"03/09/2016",1257.4
"03/10/2016",1272.8
"03/11/2016",1259.4
"03/14/2016",1245.1
"03/15/2016",1231
"03/16/2016",1229.8
"03/17/2016",1265
"03/18/2016",1254.3
"03/21/2016",1244.2
"03/22/2016",1250.3
"03/23/2016",1225.6
"03/24/2016",1223.5
"03/28/2016",1222
"03/29/2016",1237.5
"03/30/2016",1228.6
"03/31/2016",1235.6
"04/01/2016",1223.5
"04/04/2016",1219.3
"04/05/2016",1229.6
"04/06/2016",1223.8
"04/07/2016",1237.5
"04/08/2016",1243.8
"04/11/2016",1258
"04/12/2016",1260.9
"04/13/2016",1248.3
"04/14/2016",1226.5
"04/15/2016",1234.6
"04/18/2016",1235
"04/19/2016",1254.3
"04/20/2016",1254.4
"04/21/2016",1250.3
"04/22/2016",1230
"04/24/2016",1235.3
"04/25/2016",1240.2
"04/26/2016",1243.4
"04/27/2016",1250.4
"04/28/2016",1266.4
"04/29/2016",1290.5
"05/01/2016",1293.8
"05/02/2016",1295.8
"05/03/2016",1291.8
"05/04/2016",1274.4
"05/05/2016",1272.3
"05/06/2016",1294
"05/08/2016",1286
"05/09/2016",1266.6
"05/10/2016",1264.8
"05/11/2016",1275.5
"05/12/2016",1271.2
"05/13/2016",1272.7
"05/15/2016",1277.9
"05/16/2016",1274.2
"05/17/2016",1276.9
"05/18/2016",1274.4
"05/19/2016",1254.8
"05/20/2016",1252.9
"05/22/2016",1255.1
"05/23/2016",1254.9
"05/24/2016",1232.2
"05/25/2016",1226.6
"05/26/2016",1222.7
"05/27/2016",1216.7
"05/31/2016",1217.5
"06/01/2016",1214.7
"06/02/2016",1212.6
"06/03/2016",1242.9
"06/06/2016",1247.4
"06/07/2016",1247
"06/08/2016",1262.3
"06/09/2016",1272.7
"06/10/2016",1275.9
"06/13/2016",1286.9
"06/14/2016",1288.1
"06/15/2016",1288.3
"06/16/2016",1298.4
"06/17/2016",1294.8
"06/20/2016",1292.1
"06/21/2016",1272.5
"06/22/2016",1270
"06/23/2016",1263.1
"06/24/2016",1322.4
"06/27/2016",1324.7
"06/28/2016",1317.9
"06/29/2016",1326.9
"06/30/2016",1320.6
"07/01/2016",1339
"07/04/2016",1353.5
"07/05/2016",1358.7
"07/06/2016",1367.1
"07/07/2016",1362.1
"07/08/2016",1358.4
"07/11/2016",1356.6
"07/12/2016",1335.3
"07/13/2016",1343.6
"07/14/2016",1332.2
"07/15/2016",1327.4
"07/18/2016",1329.3
"07/19/2016",1332.3
"07/20/2016",1319.3
"07/21/2016",1338.9
"07/22/2016",1331.5
"07/25/2016",1327.2
"07/26/2016",1328.3
"07/27/2016",1334.5
"07/28/2016",1341.2
"07/29/2016",1357.5
"08/01/2016",1359.6
"08/02/2016",1372.6
"08/03/2016",1364.7
"08/04/2016",1367.4
"08/05/2016",1344.4
"08/08/2016",1341.3
"08/09/2016",1346.7
"08/10/2016",1351.9
"08/11/2016",1350
"08/12/2016",1343.2
"08/15/2016",1347.5
"08/16/2016",1356.9
"08/17/2016",1348.8
"08/18/2016",1357.2
"08/19/2016",1346.2
"08/22/2016",1343.4
"08/23/2016",1346.1
"08/24/2016",1329.7
"08/25/2016",1324.6
"08/26/2016",1325.9
"08/29/2016",1327.1
"08/30/2016",1316.5
"08/31/2016",1311.4
"09/01/2016",1317.1
"09/02/2016",1326.7
"09/05/2016",1330.7
"09/06/2016",1354
"09/07/2016",1349.2
"09/08/2016",1341.6
"09/09/2016",1334.5
"09/12/2016",1325.6
"09/13/2016",1323.7
"09/14/2016",1326.1
"09/15/2016",1318
"09/16/2016",1310.2
"09/19/2016",1317.8
"09/20/2016",1318.2
"09/21/2016",1331.4
"09/22/2016",1344.7
"09/23/2016",1341.7
"09/26/2016",1344.1
"09/27/2016",1330.4
"09/28/2016",1323.7
"09/29/2016",1326
"09/30/2016",1317.1
"10/03/2016",1312.7
"10/04/2016",1269.7
"10/05/2016",1268.6
"10/06/2016",1253
"10/07/2016",1251.9
"10/10/2016",1260.4
"10/11/2016",1255.9
"10/12/2016",1253.8
"10/13/2016",1257.6
"10/14/2016",1255.5
"10/17/2016",1256.6
